gispropnum,signname,borough,typecategory,subcategory,acres,road_segments
X019,Ewen Park,X,Neighborhood Park,Large Park,7.84,4
X126,Ferry Point Park,X,Flagship Park,Large Park,398.09,56
X150E,Fordham Landing Playground,X,Playground,Neighborhood Plgd,3.9,1
X020,Fort Independence Playground,X,Playground,Neighborhood Plgd,3.02,1
X047,Franz Sigel Park,X,Community Park,Large Park,15.99,7
X150D,Gasoline Alley,X,Strip,EXWY,0.667,1
X187,Givan Square,X,Playground,Sitting Area/Triangle/Mall,1.82,8
X222,Gouverneur Playground,X,Playground,Neighborhood Plgd,0.977,1
X271,Grant Park,X,Neighborhood Park,Neighborhood Park,4.72,1
X262,Harding Park,X,Neighborhood Park,Neighborhood Plgd,2.16,1
X118A,Harding Park Beautification Project,X,Garden,Greenthumb,1.16,1
X370,Hart Island,X,Managed Sites,,119.095,46
X080,Henry Hudson Park,X,Neighborhood Park,Large Park,8.972,2
X110,Henry Hudson Parkway,X,Parkway,EXWY,54.1,318
X120,Highbridge Park,X,Neighborhood Park,Sitting Area/Triangle/Mall,0.82,2
X026,Hines Park,X,Playground,Neighborhood Plgd,0.383,3
X025,Hugh J. Grant Circle,X,Triangle/Plaza,Sitting Area/Triangle/Mall,1.11,3
X101,Hutchinson River Parkway,X,Parkway,EXWY,229.14,820
X137,Jerome Park,X,Neighborhood Park,Neighborhood Park,4.359,1
X260,Julio Carballo Fields,X,Recreational Field/Courts,Neighborhood Plgd,3.351,1
X058,Keltch Park,X,Triangle/Plaza,Sitting Area/Triangle/Mall,0.287,1
X261,Kwame Ture Recreation Center,X,Buildings/Institutions,Neighborhood Park,1.88,1
X310,Locust Point Marina,X,Managed Sites,Building,22.07,4
X030,Macombs Dam Park,X,Community Park,Large Park,44.174,133
X095,Marcus Garvey Square,X,Triangle/Plaza,Sitting Area/Triangle/Mall,1.395,11
X153,Merriam Playground,X,Playground,Neighborhood Plgd,2.944,3
X057,Michel Triangle,X,Triangle/Plaza,Sitting Area/Triangle/Mall,0.28,1
X033,Mosholu Parkway,X,Parkway,Large Park,80.936,105
X081,Mount Eden Malls,X,Mall,Sitting Area/Triangle/Mall,1.682,24
X294,Palmer Inlet,X,Nature Area,Undeveloped,7.49,1
X148F4,Park,X,Undeveloped,Sitting Area/Triangle/Mall,0.759,2
X148F3,Park,X,Undeveloped,Sitting Area/Triangle/Mall,0.592,2
X148F1,Park,X,Undeveloped,Parking Lot,0.897,2
X148F2,Park,X,Undeveloped,Sitting Area/Triangle/Mall,0.511,2
X148J,Park,X,Strip,EXWY,0.083,3
X195D,Park,X,Strip,,0.006,20
X195C,Park,X,Strip,,0.007,4
X195F,Park,X,Strip,,0.025,87
X195B,Park,X,Strip,Sitting Area/Triangle/Mall,0.102,2
X091,Park,X,Triangle/Plaza,Sitting Area/Triangle/Mall,0.187,1
X225,Park,X,Undeveloped,Sitting Area/Triangle/Mall,0.022,2
X226,Park,X,Undeveloped,Parking Lot,0.013,1
X371,Park,X,Undeveloped,,3.876,37
X039,Pelham Bay Park,X,Flagship Park,Flagship Park,2771.747,527
X003,Pelham Parkway,X,Parkway,Large Park,108.91,146
X138,Playground One Thirty Four CXXXIV,X,Neighborhood Park,Neighborhood Plgd,1.95,11
X148H1,Prospect Playground,X,Jointly Operated Playground,JOP,1.438,2
X088,Pugsley Creek Park,X,Nature Area,Large Park,68.017,25
X263,Quarry Ballfields,X,Recreational Field/Courts,Neighborhood Park,4.417,3
X034,Rev. T. Wendell Foster Park and Recreation Center,X,Community Park,Large Park,15.049,5
X017,Richman (Echo) Park,X,Neighborhood Park,Neighborhood Park,4.385,3
X335,Risse Street Park,X,Neighborhood Park,Greenthumb,0.806,1
X348,River Avenue Parks,X,Playground,Neighborhood Plgd,0.67,1
X142,Riverdale Park,X,Nature Area,Large Park,144.29,15
X046,Seton Falls Park,X,Nature Area,Large Park,35.771,7
X118,Soundview Park,X,Flagship Park,Large Park,269.415,131
X090,Spuyten Duyvil Shorefront Park,X,Nature Area,Large Park,6.6,21
X044,St. James Park,X,Neighborhood Park,Large Park,11.39,2
X045,St. Mary's Park,X,Community Park,Large Park,35.311,3
X147A,Starlight Park,X,Neighborhood Park,Large Park,17.256,6
X050,Throgs Neck Park,X,Undeveloped,Parking Lot,0.444,1
X082,University Malls,X,Mall,Sitting Area/Triangle/Mall,0.743,3
X051,University Woods,X,Neighborhood Park,Neighborhood Park,3.306,2
X092,Van Cortlandt Park,X,Flagship Park,Flagship Park,1146.43,287
X093,Van Nest Park,X,Playground,Neighborhood Plgd,0.401,1
X148L1,Virginia Park,X,Neighborhood Park,Sitting Area/Triangle/Mall,0.918,2
X148D,Walton Slope,X,Parkway,Sitting Area/Triangle/Mall,0.55,5
X038,Washington's Walk,X,Neighborhood Park,Neighborhood Park,4.637,7
X209,Wave Hill,X,Historic House Park,Large Park,20.867,9
X288,West Farms Rapids,X,Neighborhood Park,Neighborhood Park,1.016,2
X217,Willis Playground,X,Jointly Operated Playground,JOP,1.882,1
X237,Yankee Stadium Garages/Lots,X,Lot,Stadium,11.414,49
